department_id,department_name
DEPT_bi___marketing,BI & Marketing
DEPT_ci___audit,CI & Audit
DEPT_central_services,Central Services
DEPT_finance___accounting,Finance & Accounting
DEPT_human_capital,Human Capital
DEPT_legal___erm,Legal & ERM
DEPT_management,Management
DEPT_sales_operation,Sales Operation
DEPT_supply_chain_dept,Supply Chain Dept
DEPT_support_facilities_management,Support Facilities Management
