org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_SEC_bi___marketing_office_strategic_management_SITE_jakarta_WORK_jakarta,ORG_SEC_bi___marketing_office_strategic_management_SITE_jakarta,work_location,Jakarta,WORK_jakarta,HERO > BI & Marketing > Office Strategic Management > Jakarta > Jakarta
ORG_SEC_ci___audit_business_process_improvement___ia_reps,ORG_DEPT_ci___audit,section,Business Process Improvement & IA Reps.,SEC_ci___audit_business_process_improvement___ia_reps,HERO > CI & Audit > Business Process Improvement & IA Reps.
ORG_SEC_ci___audit_business_process_improvement___ia_reps_SITE_balikpapan,ORG_SEC_ci___audit_business_process_improvement___ia_reps,site,Balikpapan,SITE_balikpapan,HERO > CI & Audit > Business Process Improvement & IA Reps. > Balikpapan
ORG_SEC_ci___audit_business_process_improvement___ia_reps_SITE_balikpapan_WORK_balikpapan,ORG_SEC_ci___audit_business_process_improvement___ia_reps_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > CI & Audit > Business Process Improvement & IA Reps. > Balikpapan > Balikpapan
ORG_SEC_ci___audit_quality_management,ORG_DEPT_ci___audit,section,Quality Management,SEC_ci___audit_quality_management,HERO > CI & Audit > Quality Management
ORG_SEC_ci___audit_quality_management_SITE_balikpapan,ORG_SEC_ci___audit_quality_management,site,Balikpapan,SITE_balikpapan,HERO > CI & Audit > Quality Management > Balikpapan
ORG_SEC_ci___audit_quality_management_SITE_balikpapan_WORK_balikpapan,ORG_SEC_ci___audit_quality_management_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > CI & Audit > Quality Management > Balikpapan > Balikpapan
ORG_SEC_central_services_central_services,ORG_DEPT_central_services,section,Central Services,SEC_central_services_central_services,HERO > Central Services > Central Services
ORG_SEC_central_services_central_services_SITE_balikpapan,ORG_SEC_central_services_central_services,site,Balikpapan,SITE_balikpapan,HERO > Central Services > Central Services > Balikpapan
ORG_SEC_central_services_central_services_SITE_balikpapan_WORK_balikpapan,ORG_SEC_central_services_central_services_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > Central Services > Central Services > Balikpapan > Balikpapan
ORG_SEC_central_services_corporate_wellness_specialist,ORG_DEPT_central_services,section,Corporate Wellness Specialist,SEC_central_services_corporate_wellness_specialist,HERO > Central Services > Corporate Wellness Specialist
